locus_tag	ftype	length_bp	gene	EC_number	COG	product
LFT_00180	tRNA	87				tRNA-Leu(caa)
LFT_00181	CDS	507				hypothetical protein
LFT_00182	CDS	522				hypothetical protein
LFT_00183	CDS	654				hypothetical protein
LFT_00184	CDS	492				hypothetical protein
LFT_00185	CDS	1116				hypothetical protein
LFT_00186	CDS	327				hypothetical protein
LFT_00187	CDS	786				hypothetical protein
LFT_00188	CDS	531				hypothetical protein
LFT_00189	CDS	288	frmR		COG1937	Transcriptional repressor FrmR
LFT_00190	CDS	822	ramA	3.5.1.100		(R)-stereoselective amidase
LFT_00191	CDS	861	panC	6.3.2.1	COG0414	Pantothenate synthetase
LFT_00192	CDS	849	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
LFT_00193	CDS	474	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
LFT_00194	CDS	471				hypothetical protein
LFT_00195	CDS	873	argB	2.7.2.8	COG0548	Acetylglutamate kinase
LFT_00196	CDS	1335	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
LFT_00197	CDS	597	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
LFT_00198	CDS	966	xerD_1			Tyrosine recombinase XerD
LFT_00199	CDS	1125	trmFO_1	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
LFT_00200	CDS	366	trmFO_2	2.1.1.74		Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
LFT_00201	CDS	1578	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
LFT_00202	CDS	978	topA_2	5.6.2.1		DNA topoisomerase 1
LFT_00203	CDS	558	dprA		COG0758	DNA processing protein DprA
LFT_00204	CDS	273				hypothetical protein
LFT_00205	CDS	483				hypothetical protein
LFT_00206	CDS	768	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
LFT_00207	CDS	195				hypothetical protein
LFT_00208	CDS	477				hypothetical protein
LFT_00209	CDS	1050				hypothetical protein
LFT_00210	CDS	414				hypothetical protein
LFT_00211	CDS	324				hypothetical protein
LFT_00212	CDS	528				hypothetical protein
LFT_00213	CDS	1089	hcf136_1			Ycf48-like protein
LFT_00214	CDS	1068	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
LFT_00215	CDS	381				hypothetical protein
LFT_00216	CDS	411				hypothetical protein
LFT_00217	CDS	294				hypothetical protein
LFT_00218	CDS	1185	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
LFT_00219	CDS	714				hypothetical protein
LFT_00220	CDS	150				hypothetical protein
LFT_00221	CDS	864				hypothetical protein
LFT_00222	CDS	450				hypothetical protein
LFT_00223	CDS	459				hypothetical protein
LFT_00224	CDS	228				hypothetical protein
LFT_00225	CDS	708		1.-.-.-		putative oxidoreductase
LFT_00226	CDS	303				hypothetical protein
LFT_00227	CDS	561				hypothetical protein
LFT_00228	CDS	291				hypothetical protein
LFT_00229	CDS	786	motB		COG1360	Motility protein B
LFT_00230	CDS	783	pomA		COG1291	Chemotaxis protein PomA
LFT_00231	CDS	516	cheW		COG0835	Chemotaxis protein CheW
LFT_00232	CDS	1674				hypothetical protein
LFT_00233	CDS	1035	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
LFT_00234	CDS	1941	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
LFT_00235	CDS	381	cheY		COG0784	Chemotaxis protein CheY
LFT_00236	CDS	795	cheR	2.1.1.80		Chemotaxis protein methyltransferase
LFT_00237	CDS	756	fliA		COG1191	RNA polymerase sigma factor FliA
LFT_00238	CDS	879	ylxH		COG0455	Flagellum site-determining protein YlxH
LFT_00239	CDS	1182	flhF		COG1419	Flagellar biosynthesis protein FlhF
LFT_00240	CDS	2109	flhA		COG1298	Flagellar biosynthesis protein FlhA
LFT_00241	CDS	1089	flhB		COG1377	Flagellar biosynthetic protein FlhB
LFT_00242	CDS	684	fliR		COG1684	Flagellar biosynthetic protein FliR
LFT_00243	CDS	270				hypothetical protein
LFT_00244	CDS	798				hypothetical protein
LFT_00245	CDS	522				hypothetical protein
LFT_00246	CDS	378				hypothetical protein
LFT_00247	CDS	507				hypothetical protein
LFT_00248	CDS	1374	flgE		COG1749	Flagellar hook protein FlgE
LFT_00249	CDS	831				hypothetical protein
LFT_00250	CDS	1485				hypothetical protein
LFT_00251	CDS	510				hypothetical protein
LFT_00252	CDS	444				hypothetical protein
LFT_00253	CDS	1389	yscN	7.1.2.2		putative ATP synthase YscN
LFT_00254	CDS	660				hypothetical protein
LFT_00255	CDS	1005	fliG		COG1536	Flagellar motor switch protein FliG
LFT_00256	CDS	1596	fliF		COG1766	Flagellar M-ring protein
LFT_00257	CDS	330	fliE			Flagellar hook-basal body complex protein FliE
LFT_00258	CDS	213	flgC		COG1558	Flagellar basal-body rod protein FlgC
LFT_00259	CDS	255				hypothetical protein
LFT_00260	CDS	375				hypothetical protein
LFT_00261	CDS	1470	atoC_1		COG2204	Regulatory protein AtoC
LFT_00262	CDS	1221	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
LFT_00263	CDS	2160	cpoB_1			Cell division coordinator CpoB
LFT_00264	CDS	1035	atoC_2		COG2204	Regulatory protein AtoC
LFT_00265	CDS	1029	queG	1.17.99.6		Epoxyqueuosine reductase
LFT_00266	CDS	846				hypothetical protein
LFT_00267	CDS	864				hypothetical protein
LFT_00268	CDS	342				hypothetical protein
LFT_00269	CDS	630	lipM	2.3.1.181		Octanoyltransferase LipM
LFT_00270	CDS	1491	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
LFT_00271	CDS	1722	gcvPA	1.4.4.2		glycine dehydrogenase (decarboxylating) subunit 1
LFT_00272	CDS	438	gcvT_1	2.1.2.10		Aminomethyltransferase
LFT_00273	CDS	726	gcvT_2	2.1.2.10		Aminomethyltransferase
LFT_00274	CDS	186				hypothetical protein
LFT_00275	CDS	192				hypothetical protein
LFT_00276	CDS	705				hypothetical protein
LFT_00277	CDS	1365				hypothetical protein
LFT_00278	CDS	555				hypothetical protein
LFT_00279	CDS	1020				hypothetical protein
LFT_00280	CDS	1404				hypothetical protein
LFT_00281	CDS	90				hypothetical protein
LFT_00282	CDS	258		2.8.1.-	COG0607	Sulfurtransferase
LFT_00283	CDS	306				hypothetical protein
LFT_00284	CDS	831	trmI	2.1.1.220	COG2519	tRNA (adenine(58)-N(1))-methyltransferase TrmI
LFT_00285	CDS	645				hypothetical protein
LFT_00286	CDS	1485	resA_1			Thiol-disulfide oxidoreductase ResA
LFT_00287	CDS	1311				hypothetical protein
LFT_00288	CDS	204				hypothetical protein
LFT_00289	CDS	873	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
LFT_00290	CDS	855				hypothetical protein
LFT_00291	CDS	744	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
LFT_00292	CDS	384	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
LFT_00293	CDS	651				hypothetical protein
LFT_00294	CDS	3111	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
LFT_00295	CDS	1143	cusB_1			Cation efflux system protein CusB
LFT_00296	CDS	366				hypothetical protein
LFT_00297	CDS	1005				hypothetical protein
LFT_00298	CDS	621				hypothetical protein
LFT_00299	CDS	846				hypothetical protein
LFT_00300	CDS	1209				hypothetical protein
LFT_00301	CDS	249				hypothetical protein
LFT_00302	CDS	303				hypothetical protein
LFT_00303	CDS	369				hypothetical protein
LFT_00304	CDS	252				hypothetical protein
LFT_00305	tRNA	93				tRNA-Ser(gga)
LFT_00306	misc_RNA	99				Bacteria_small_SRP
LFT_00307	CDS	1776				hypothetical protein
LFT_00308	CDS	210			COG0718	Nucleoid-associated protein
LFT_00309	CDS	645	recR		COG0353	Recombination protein RecR
LFT_00310	CDS	489	prfC_1		COG4108	Peptide chain release factor 3
LFT_00311	CDS	1161	prfC_2		COG4108	Peptide chain release factor 3
LFT_00312	CDS	942				hypothetical protein
LFT_00313	tRNA	93				tRNA-Ser(gct)
LFT_00314	tRNA	86				tRNA-Ser(tga)
LFT_00315	CDS	1284				hypothetical protein
LFT_00316	tRNA	90				tRNA-Ser(cga)
LFT_00317	CDS	1362	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
LFT_00318	CDS	138				hypothetical protein
LFT_00319	CDS	474				hypothetical protein
LFT_00320	CDS	396	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
LFT_00321	CDS	1005	ybiB		COG0547	putative protein YbiB
LFT_00322	CDS	1212		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
LFT_00323	CDS	243	tusA_1		COG0425	Sulfur carrier protein TusA
LFT_00324	CDS	393				hypothetical protein
LFT_00325	CDS	219				hypothetical protein
LFT_00326	CDS	990	sapM	3.1.3.64		Phosphatidylinositol-3-phosphatase
LFT_00327	CDS	1395				hypothetical protein
LFT_00328	CDS	1389	lpd	1.8.1.4		Dihydrolipoyl dehydrogenase
LFT_00329	tRNA	77				tRNA-Met(cat)
LFT_00330	CDS	243				hypothetical protein
LFT_00331	CDS	1635				hypothetical protein
LFT_00332	CDS	642				hypothetical protein
LFT_00333	CDS	1077				hypothetical protein
LFT_00334	CDS	714	udgb	3.2.2.-	COG1573	Type-5 uracil-DNA glycosylase
LFT_00335	CDS	201				hypothetical protein
LFT_00336	CDS	1215				hypothetical protein
LFT_00337	CDS	357				hypothetical protein
LFT_00338	CDS	2022	rnr	3.1.13.1	COG0557	Ribonuclease R
LFT_00339	CDS	483				hypothetical protein
LFT_00340	CDS	540	pal_1		COG2885	Peptidoglycan-associated lipoprotein
LFT_00341	CDS	699	pal_2			Peptidoglycan-associated lipoprotein
LFT_00342	CDS	486				hypothetical protein
LFT_00343	CDS	1086	thiL	2.7.4.16		Thiamine-monophosphate kinase
LFT_00344	CDS	1779	lon_1	3.4.21.53	COG0466	Lon protease
LFT_00345	CDS	537				hypothetical protein
LFT_00346	CDS	900	gtaB_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
LFT_00347	CDS	615	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
LFT_00348	CDS	480				hypothetical protein
LFT_00349	CDS	690				hypothetical protein
LFT_00350	CDS	2619	polA	2.7.7.7		DNA polymerase I, thermostable
LFT_00351	CDS	933	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
LFT_00352	CDS	705	yccA		COG0670	Modulator of FtsH protease YccA
LFT_00353	CDS	576				hypothetical protein
LFT_00354	CDS	1002				hypothetical protein
LFT_00355	CDS	912	cmpR_1			HTH-type transcriptional activator CmpR
LFT_00356	CDS	2214	dinG_1	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
LFT_00357	CDS	645				hypothetical protein
LFT_00358	CDS	1407	lapB			Lipopolysaccharide assembly protein B
LFT_00359	CDS	558	rsfS			Ribosomal silencing factor RsfS
LFT_00360	CDS	693	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
LFT_00361	CDS	1266	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
LFT_00362	CDS	1143	proB	2.7.2.11	COG0263	Glutamate 5-kinase
LFT_00363	CDS	1083	obg	3.6.5.-	COG0536	GTPase Obg
LFT_00364	CDS	279	rpmA		COG0211	50S ribosomal protein L27
LFT_00365	CDS	321	rplU		COG0261	50S ribosomal protein L21
LFT_00366	CDS	462	fur		COG0735	Ferric uptake regulation protein
LFT_00367	CDS	1059	hcf136_2			Ycf48-like protein
LFT_00368	CDS	948				hypothetical protein
LFT_00369	CDS	387	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
LFT_00370	CDS	1011	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
LFT_00371	CDS	1044	btuD	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
LFT_00372	CDS	1560				hypothetical protein
LFT_00373	CDS	1710				hypothetical protein
LFT_00374	CDS	357	rplT		COG0292	50S ribosomal protein L20
LFT_00375	CDS	198				hypothetical protein
LFT_00376	CDS	528	infC		COG0290	Translation initiation factor IF-3
LFT_00377	CDS	1761	thrZ	6.1.1.3	COG0441	Threonine--tRNA ligase 2
LFT_00378	CDS	756				hypothetical protein
LFT_00379	CDS	2760				hypothetical protein
LFT_00380	CDS	852	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
LFT_00381	CDS	891				hypothetical protein
LFT_00382	CDS	648	tenI	5.3.99.10	COG0352	Thiazole tautomerase
LFT_00383	CDS	825	thiG	2.8.1.10	COG2022	Thiazole synthase
LFT_00384	CDS	1926	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
LFT_00385	CDS	666				hypothetical protein
LFT_00386	CDS	900				hypothetical protein
LFT_00387	CDS	1131	ugtP	2.4.1.315		Processive diacylglycerol beta-glucosyltransferase
LFT_00388	CDS	936	lpxH	3.6.1.54		UDP-2,3-diacylglucosamine hydrolase
LFT_00389	CDS	1203				hypothetical protein
LFT_00390	CDS	780	clcD	3.1.1.45		Carboxymethylenebutenolidase
LFT_00391	CDS	1491	tth	3.12.1.-	COG1520	Tetrathionate hydrolase
LFT_00392	CDS	498				hypothetical protein
LFT_00393	CDS	1425	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
LFT_00394	CDS	669	arlR		COG0745	Response regulator ArlR
LFT_00395	CDS	558				hypothetical protein
LFT_00396	tRNA	77				tRNA-Pro(tgg)
LFT_00397	CDS	1086				hypothetical protein
LFT_00398	CDS	882	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
LFT_00399	CDS	432	atpC			ATP synthase epsilon chain
LFT_00400	CDS	1392	atpD1	7.1.2.2		ATP synthase subunit beta 1
LFT_00401	CDS	876	atpG		COG0224	ATP synthase gamma chain
LFT_00402	CDS	1524	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
LFT_00403	CDS	570	atpD			ATP synthase subunit delta
LFT_00404	CDS	528	atpF			ATP synthase subunit b
LFT_00405	CDS	231	atpE			ATP synthase subunit c, sodium ion specific
LFT_00406	CDS	735	atpB		COG0356	ATP synthase subunit a
LFT_00407	CDS	270				hypothetical protein
LFT_00408	CDS	495				hypothetical protein
LFT_00409	CDS	747	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
LFT_00410	CDS	1023				hypothetical protein
LFT_00411	CDS	204	cntB			Metal-staphylopine import system permease protein CntB
LFT_00412	CDS	828	ddpB		COG0601	putative D,D-dipeptide transport system permease protein DdpB
LFT_00413	CDS	705			COG0747	putative ABC transporter-binding protein
LFT_00414	CDS	858			COG0747	putative ABC transporter-binding protein
LFT_00415	CDS	306	secG		COG1314	Protein-export membrane protein SecG
LFT_00416	CDS	777	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
LFT_00417	CDS	1200	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
LFT_00418	CDS	1029	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
LFT_00419	CDS	912	mrcA		COG5009	Penicillin-binding protein 1A
LFT_00420	CDS	1515	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
LFT_00421	CDS	291				hypothetical protein
LFT_00422	CDS	639	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
LFT_00423	CDS	1107				hypothetical protein
LFT_00424	tRNA	84				tRNA-Leu(gag)
LFT_00425	CDS	198				hypothetical protein
LFT_00426	CDS	654	cysG_1	4.99.1.4		Siroheme synthase
LFT_00427	CDS	732	bamD			Outer membrane protein assembly factor BamD
LFT_00428	CDS	879	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
LFT_00429	CDS	1374	atoC_3		COG2204	Regulatory protein AtoC
LFT_00430	CDS	2256	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
LFT_00431	CDS	1227				hypothetical protein
LFT_00432	CDS	669				hypothetical protein
LFT_00433	CDS	606				hypothetical protein
LFT_00434	CDS	435				hypothetical protein
LFT_00435	CDS	840	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
LFT_00436	CDS	1158	queA	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
LFT_00437	CDS	1044				hypothetical protein
LFT_00438	CDS	507				hypothetical protein
LFT_00439	CDS	1191				hypothetical protein
LFT_00440	CDS	1128	sqr	1.8.5.4	COG0446	Sulfide-quinone reductase
LFT_00441	CDS	582	mtcA1	4.2.1.1	COG0288	Beta-carbonic anhydrase 1
LFT_00442	CDS	1107				hypothetical protein
LFT_00443	CDS	486				hypothetical protein
LFT_00444	CDS	189				hypothetical protein
LFT_00445	CDS	3168				hypothetical protein
LFT_00446	CDS	252				hypothetical protein
LFT_00447	CDS	1431		3.1.4.-	COG2206	3'3'-cGAMP-specific phosphodiesterase 3
LFT_00448	CDS	993			COG1752	putative NTE family protein
